path,categories,count,uz,format,trace
0.gif,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.gif,
0_a6315_aaf0ed1a_XL.jpg,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.jpg,
2046468258.tif,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.tif,
50308888-8889.tif,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.tif,
agreement_reg_extra.pdf,"{'обычные': 29, 'государственные': 0, 'платёжные': 2, 'биометрические': 0, 'специальные': 1}",32,УЗ-1,.pdf,
client.parquet,"{'обычные': 96208, 'государственные': 1146, 'платёжные': 2126, 'биометрические': 1, 'специальные': 0}",99481,УЗ-1,.parquet,
CS10.mp4,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.mp4,
page_38.html,"{'обычные': 5, 'государственные': 0, 'платёжные': 0, 'биометрические': 1, 'специальные': 0}",6,УЗ-1,.html,
plan.json,"{'обычные': 0, 'государственные': 0, 'платёжные': 18, 'биометрические': 0, 'специальные': 0}",18,УЗ-2,.json,
psxattrs.csv,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.csv,
sample.md,"{'обычные': 1, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",1,УЗ-4,.md,
zayavka_kompensaciya_interneta.txt,"{'обычные': 5, 'государственные': 0, 'платёжные': 2, 'биометрические': 0, 'специальные': 0}",7,УЗ-2,.txt,
_%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%B8%D0%B5%20%D0%B2%20%D0%9F%D0%98%D0%A0%20%D0%B3%D0%BE%D1%81%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9.doc,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.doc,
_Universal Application Form 2018.doc,"{'обычные': 0, 'государственные': 0, 'платёжные': 0, 'биометрические': 0, 'специальные': 0}",0,NO_PDN,.doc,
